Site ID,Site Name,Area,Regional,Emin40 (kWh),Emax (kWh),Kota / Kabupaten
BDS864,KPPADAHURIPSUKAMULYATBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS867,BABAKANCIANJURCIMAUNGTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR748,MEKARWANGICIKADUDMT,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
CMI255,JLLESTARIPADASUKATBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR747,CILONGSONGTANGGEUNGDMT,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
BDG055,BOJONGSOANG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS162,KELPASAWAHAN,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDG425,BALICOM,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS190,ANDIRKETAPANG,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDB291,DSMEKARMUKTIDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS169,KPCIHARUMAN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB156,TATARRATNANINGSIH,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS205,BOJONGSEUREH,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDB288,KPSIMPANGGNGHALUTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS189,DSSAYATI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS001,KCBUMIWANGICIPARAYBMS,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB212,CIPANJI,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDB184,BALAKASAPTENGAH,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS869,WANASUKAPANGALENGANDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB160,TATARMAYANGSUNDA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB175,KPRANCABALIKDL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB181,KPBANDUNGAN,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
SUB595,KPKARANGTANJUNGDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB571,KALIJATITIMUR,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDS840,RANCAMULYAPAMEUNGPEUKDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
SUB573,KPCICARIU,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDG755,BABAKANGARUT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB660,BOKOSAMBICIPUNAGARADMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB661,BOPADAMULYACIPUNAGARADMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB669,KPCISAATBOJONGLOAKTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
CMI054,GGHAJISYAFEI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
