Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
KNG013,NUSAHERANG,Februari,Tsel Postpaid,16500,1855,234,15,11368,2948149,0,6
kng003,Ciniru Jayalaksana,Februari,Tsel Postpaid,33000,2660,652,76,24224,4227907,0,10
KNG010,SINDANGAGUNG,Februari,Tsel Postpaid,13200,920,738,82,24862,5793856,0,10
IND129,GANTARIND,Februari,Tsel Postpaid,16500,2173,297,44,20116,3389591,0,10
KNG022,MARGAMUKTI,Februari,Tsel Postpaid,10600,1593,299,28,12275,3941607,0,9
MJL100,ARGALINGGA,Februari,Tsel Postpaid,10600,2588,521,123,24011,4038337,0,10
MJL097,SUNIABARU,Februari,Tsel Postpaid,10600,1964,432,53,15578,3063383,0,7
KNG014,GUNUNGKARUNG,Februari,Tsel Postpaid,10600,1382,180,17,8592,2196567,308,9
MJL163,HeUleUt,Februari,Tsel Postpaid,16500,2655,699,72,31150,4142283,0,11
CRB100,KRNGSUWUNG,Februari,Tsel Postpaid,10600,2899,909,84,39643,4521867,436,11
CJR049,BUNIPASIR,Februari,Tsel Postpaid,10600,2067,333,28,18732,3285895,0,7
CRB693,JLTUPAREV33,Februari,Tsel Postpaid,10600,1545,513,36,23382,2454966,44,4
BDK239,JLSEKOLAHINTL,Februari,Tsel Postpaid,7700,1514,292,21,10787,2362258,0,9
IND099,SUKASLAMET,Februari,Tsel Postpaid,10600,2174,536,58,23246,3391010,0,7
KNG037,SUKADANAKNG,Februari,Tsel Postpaid,10600,2263,589,79,27506,5619421,0,9
IND020,LELEA,Februari,Tsel Postpaid,16500,1889,261,16,8254,2946535,0,6
BDG136,CIKOLE,Februari,Tsel Postpaid,23000,2865,1829,177,52376,4428382,0,9
BDG111,MARIBAYA,Februari,Tsel Postpaid,23000,2371,274,36,16232,3665593,0,7
BDG227,PASIRWANGI,Februari,Tsel Postpaid,23000,3022,939,120,39493,4671495,112,9
BDG503,WANGUNSARILBG,Februari,Tsel Postpaid,16500,2522,494,51,27363,3898673,0,7
BDK554,JLBANGRENG,Februari,Tsel Postpaid,7700,1265,344,19,11794,1973750,0,6
BDG673,PSRKOSAMBI,Februari,Tsel Postpaid,16500,1974,790,58,27212,3079064,0,10
BDK746,JLRAYABUAHBATU,Februari,Tsel Postpaid,7700,1641,511,24,16214,2560413,0,9
BDG064,GRAHAKADIN,Februari,Tsel Postpaid,23000,2516,473,26,18128,3926216,0,9
BDK616,JLBAPASUPI,Februari,Tsel Postpaid,10600,1606,872,67,27411,2505803,0,10
IND006,LOBENER,Februari,Tsel Postpaid,23000,2414,541,37,22179,3766397,0,8
CRB019,LOSARI,Februari,Tsel Postpaid,23000,2386,668,71,30044,3723068,0,12
MJL001,MAJA,Februari,Tsel Postpaid,23000,2224,465,55,16163,3470943,0,9
MJL232,UNIVMAJALENGKA,Februari,Tsel Postpaid,7700,2073,677,45,21238,3234421,0,12
MJL021,ABDLHALIM,Februari,Tsel Postpaid,13200,2535,851,62,38689,3956376,0,9
MJL034,SIDAMUKTI,Februari,Tsel Postpaid,10600,1395,229,25,8726,2177085,0,9
MJL101,GIRIMULYA,Februari,Tsel Postpaid,16500,2595,435,40,18053,4048947,98,9
MJL213,Kawunggirang,Februari,Tsel Postpaid,10600,2411,578,62,24633,3761451,0,7
CRB071,KALIMUKTI,Februari,Tsel Postpaid,16500,2157,354,32,20623,3366452,125,7
CRB451,PABEDILAN,Februari,Tsel Postpaid,16500,2773,692,73,32485,4325304,286,9
SUB085,POPONCOL,Februari,Tsel Postpaid,10600,2332,404,53,25148,3706580,0,7
CRB117,KIANSANTANG,Februari,Tsel Postpaid,10600,2059,909,96,33617,3213341,526,8
CJR522,CUGCIPANAS,Februari,Tsel Postpaid,23000,2658,454,48,24762,4224332,0,8
CMS186,DSNBONTOS,Februari,Tsel Postpaid,13200,2745,517,68,27949,4363607,0,12
CMS072,CINTAKARYA,Februari,Tsel Postpaid,10600,2637,576,77,25601,4191642,54,7
CRB128,BLKSUMUR,Februari,Tsel Postpaid,10600,1644,213,17,10607,2566108,178,6
CRB474,PASALEMAN,Februari,Tsel Postpaid,10600,1983,274,29,14844,3092795,0,6
KNG146,PADAMATANG,Februari,Tsel Postpaid,10600,1656,381,31,20328,2632666,74,9
SMD021,PADANAANPSH,Februari,Tsel Postpaid,16500,108522,403,29,7127,2680133,0,6
SMD001,PASEH,Februari,Tsel Postpaid,33000,3197,651,121,42674,4987984,190,7
SMD080,PASEHSMD,Februari,Tsel Postpaid,13200,2200,666,57,32308,3432576,190,7
CJR002,GEKBRONG,Februari,Tsel Postpaid,16500,97011,820,79,32128,4751094,0,12
CJR001,GNGGEDEH,Februari,Tsel Postpaid,16500,1824,210,26,13460,2899901,0,6
CJR008,CUGENANG,Februari,Tsel Postpaid,16500,2167,333,25,19030,3443811,0,7
CJR007,KRGTENGAH,Februari,Tsel Postpaid,16500,2105,337,43,19260,3345601,0,6
CJR003,HARIMARTCNJR,Februari,Tsel Postpaid,23000,2646,868,61,36430,4205675,0,9
CJR024,CEMPAKAMLY,Februari,Tsel Postpaid,16500,1876,246,25,15555,2981362,0,6
CJR020,CEMPAKACJR,Februari,Tsel Postpaid,16500,3133,724,105,37661,4979140,618,10
CJR332,KADUPANDAK,Februari,Tsel Postpaid,16500,1892,457,53,21613,3006423,0,10
CJR331,PAGELARAN,Februari,Tsel Postpaid,16500,2314,402,38,22478,3677054,0,7
CJR333,CIBINONG,Februari,Tsel Postpaid,16500,2479,457,55,25036,3939426,0,7
CJR338,MANDECIANJUR,Februari,Tsel Postpaid,16500,2440,588,54,35789,3878369,0,9
CJR341,KBNKAWUNG,Februari,Tsel Postpaid,13200,1828,243,26,14311,2905766,0,7
CJR343,CIGINUNGHRG,Februari,Tsel Postpaid,13200,2310,534,75,25101,3671015,0,7
CJR348,BNTRWARUCJR,Februari,Tsel Postpaid,16500,2442,625,78,31180,3880562,0,10
CJR362,BOBOJONG,Februari,Tsel Postpaid,13200,1912,442,45,18877,3038605,0,7
CJR358,CIHEULANGCJR,Februari,Tsel Postpaid,13200,1593,244,15,13979,2531151,0,6
CJR357,PSRGOMBONG,Februari,Tsel Postpaid,10600,2128,238,32,13814,3381754,0,6
CJR765,KCMEKARJAYACAMPAKA,Februari,Tsel Postpaid,10600,1764,177,18,9061,2804647,0,3
CMS123,BANTARDAWA,Februari,Tsel Postpaid,10600,1729,227,19,9391,2748374,140,6
CMS057,PADARINGAN,Februari,Tsel Postpaid,10600,2366,458,61,21449,3760962,0,9
CMS056,KRNGPANINGAL,Februari,Tsel Postpaid,16500,61921,617,70,26346,3529547,250,7
CMI007,CIJERAH,Februari,Tsel Postpaid,23000,2243,663,46,34696,3499481,0,5
CMS066,PULAUMAJU,Februari,Tsel Postpaid,10600,2066,494,47,19575,3284576,139,12
CRB102,KLIWON,Februari,Tsel Postpaid,10600,2158,482,52,24904,3367996,0,7
CRB074,GEMBONGAN,Februari,Tsel Postpaid,10600,1962,265,25,12212,3060387,722,7
CRB098,WANGUN,Februari,Tsel Postpaid,10600,2502,451,28,20151,3903982,0,6
CRB093,ASTANAJAPURA,Februari,Tsel Postpaid,10600,2355,391,36,21363,3674309,436,6
CRB468,WARUKAWUNG,Februari,Tsel Postpaid,10600,1980,290,22,14648,3088644,120,6
CRB481,DSCIPANAS,Februari,Tsel Postpaid,10600,1822,297,19,14405,2842589,98,9
CRB751,JLKUSNANCRB,Februari,Tsel Postpaid,10600,1769,347,28,16552,2810781,44,9
BDS006,KCWARJABAKTICIMAUNG,Februari,Tsel Postpaid,10600,1554,416,42,20175,2380196,0,3
GRT018,BANJARWANGI,Februari,Tsel Postpaid,16500,2302,599,61,25674,3558823,1022,10
GRT602,KCBARUSARIPASIRWANGI,Februari,Tsel Postpaid,10600,1729,495,54,25859,2672491,0,6
GRT601,KCSUKARAMELELES,Februari,Tsel Postpaid,10600,1428,340,32,18997,2207258,0,3
